N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PRECISION,F1,RECALL_WO_O,PRECISION_WO_O,F1_WO_O
Model1,500,1,1,0.9673333333333334,0.9531390234770708,0.959225781997529,0.477326968973747,0.679452205978995,0.5573233769516642
Model2,500,2,1,0.9647368421052631,0.9549037169114691,0.959443994860614,0.5346062052505967,0.6327904329468733,0.5755838757313684
Model3,500,3,1,0.9659649122807018,0.954351926026217,0.9598853202285755,0.5286396181384249,0.6315536674257697,0.572782613360349
Model4,500,1,2,0.969859649122807,0.9566264263749189,0.9626051836751429,0.5119331742243437,0.6701761449179395,0.5794787832267556
Model5,500,2,2,0.972701754385965,0.9601317386295364,0.9661597323528882,0.5769689737470167,0.6706549495405278,0.6189736183019003
Model6,500,3,2,0.9669824561403508,0.9600209438200473,0.9625781822581242,0.6258949880668258,0.6154174191089764,0.6144771054680996
Model7,800,1,2,0.9693333333333334,0.9558439795013363,0.9619379501071632,0.5017899761336515,0.6583888719866271,0.5681547198136782
Model8,800,2,2,0.9697894736842105,0.9621601749971427,0.9654920282539773,0.633054892601432,0.6560611552430875,0.639291671172409
Model9,800,3,2,0.968701754385965,0.9636270394400519,0.9654746944845326,0.636038186157518,0.6686022051013776,0.6447380305299445
