N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PRECISION,F1,RECALL_WO_O,PRECISION_WO_O,F1_WO_O
Model1,500,1,1,0.9494736842105264,0.9284235461686418,0.9351576270348367,0.23448687350835323,0.6219228054418634,0.3255167269569339
Model2,500,2,1,0.9478947368421052,0.9221256874444106,0.9338890649239695,0.22673031026252982,0.48520177187724284,0.30864750907164157
Model3,500,3,1,0.9485263157894737,0.9228536626843615,0.933792652447919,0.2165871121718377,0.4951269214929609,0.2968922563644634
Model4,500,1,2,0.9594736842105264,0.9453794318993629,0.9516851701108324,0.45465393794749404,0.5784253388452298,0.49810354617408115
Model5,500,2,2,0.9611228070175438,0.947489643606824,0.953949716819563,0.4701670644391408,0.6351082047744545,0.5359037507031702
Model6,500,3,2,0.9565964912280702,0.9487877903183228,0.9520573770367506,0.5184964200477327,0.5696867627128277,0.532925745806023
Model7,800,1,2,0.9591228070175438,0.9459730813481886,0.9522087655423999,0.4815035799522673,0.580709652414381,0.5224353706027266
Model8,800,2,2,0.9619649122807018,0.9465259101207575,0.9536534701481413,0.434964200477327,0.616630766549133,0.5061794193998201
Model9,800,3,2,0.9591578947368421,0.9494263379157941,0.9540165943026767,0.48687350835322196,0.6063942578709167,0.5372126170154365
